Run,Date,Time,dt,dE (MeV),Q LTU (pC),Stacker Delay (ps),BC1 Curr DES (A),BC2 Curr DES (A),BC2 Curr ACT (A),L3 EDES (GeV),Q (pC),BLM2 (kA),BLM1 (A),
,1/20/2016,2:32:13,60.86,61.14,150.6395,38.63,95.00,-2350.00,1485.40,14.09,156.99,1.62,89.08,
,1/20/2016,3:07:21,94.39,34.69,114.1588,38.63,95.00,-2350.00,1574.40,14.09,117.48,1.45,87.17,
,1/20/2016,3:18:51,93.37,34.93,113.2393,38.63,95.00,-2350.00,1396.90,14.09,113.88,1.26,82.16,
53 - 57,1/20/2016,3:19:40,77.22,51.30,114.6773,38.63,95.00,-2350.00,1467.20,14.09,118.76,1.45,91.70,
,1/21/2016,7:14:37,-73.92,46.99,137.1821,35.60,80.00,-2200.00,1974.80,14.09,133.81,2.01,78.08,
,1/21/2016,8:12:14,-87.74,34.91,131.9435,35.60,80.00,-2200.00,1946.50,14.09,132.52,1.97,74.51,
,1/21/2016,8:15:35,-128.55,44.55,130.7259,33.10,80.00,-2200.00,2004.70,14.09,130.65,2.11,72.12,
,1/21/2016,8:15:55,-133.17,56.20,136.2096,33.10,80.00,-2200.00,2135.60,14.09,136.10,2.10,87.08,
,1/21/2016,8:16:53,-118.44,35.85,134.4422,33.10,80.00,-2200.00,2157.40,14.09,134.30,2.09,80.70,
58,1/21/2016,9:04:10,-92.96,30.38,136.6427,35.60,80.00,-2200.00,2118.60,14.09,136.85,2.07,88.71,
59 - 463,1/21/2016,10:32:34,-83.17,57.08,132.3878,35.60,80.00,-2200.00,2029.20,14.09,130.25,1.99,81.93,
464 - 488,1/22/2016,0:15:34,-127.61,33.75,147.6653,35.60,80.00,1950.00,1891.20,14.12,144.84,1.75,77.40,
489 - 631,1/22/2016,2:33:23,-71.98,62.40,154.5363,35.60,65.00,1950.00,2132.70,14.12,156.54,1.77,61.96,
632 - 662,1/22/2016,4:52:33,-77.71,66.89,150.2477,35.60,65.00,1950.00,2106.50,14.12,147.82,1.82,61.10,
,1/22/2016,5:28:27,-16.52,86.56,153.1052,40.60,65.00,1950.00,1914.50,14.12,150.90,2.72,69.59,
,1/22/2016,5:36:16,-25.61,82.01,151.9672,40.10,65.00,1950.00,2151.00,14.12,150.94,1.96,57.96,
663 - 698,1/22/2016,6:35:58,-24.20,85.47,152.3446,40.10,65.00,1950.00,2522.50,14.12,155.25,2.79,66.14,
699 - 849,1/22/2016,7:00:47,-17.91,60.86,150.3461,40.10,65.00,1950.00,2981.30,14.12,154.67,3.22,63.56,
850 - 874,1/23/2016,14:22:01,-95.29,81.71,143.7757,35.63,70.00,-2050.00,2006.90,14.12,147.13,2.06,62.99,
,1/23/2016,20:41:30,0.00,0.00,195.4244,44.63,200.00,2500.00,2549.40,14.12,196.48,2.25,205.84,One bunch?
875 - 904,1/23/2016,22:59:13,0.00,0.00,196.9014,44.63,200.00,2700.00,2568.40,14.12,199.40,2.94,195.90,One bunch?
905 - 961,1/23/2016,23:13:39,15.95,38.55,197.232,44.63,200.00,4600.00,4706.60,14.12,198.37,4.29,201.21,One bunch?
962 - 1015,1/24/2016,1:16:34,0.00,0.00,195.8978,44.63,200.00,4600.00,4769.90,14.12,198.57,4.71,199.08,One bunch?
,1/24/2016,3:43:17,0.00,0.00,193.3273,44.63,190.00,2100.00,2231.10,14.12,194.55,2.05,186.10,One bunch?
,1/24/2016,3:43:22,0.00,0.00,196.7589,44.63,190.00,2100.00,1803.40,14.12,200.40,1.92,193.58,One bunch?
,1/24/2016,3:48:40,0.00,0.00,199.4364,44.63,180.00,2300.00,2311.50,14.12,199.63,2.81,180.60,One bunch?
1016 - 1039,1/24/2016,3:48:53,0.00,0.00,203.1684,44.63,180.00,2300.00,2574.80,14.12,203.69,2.47,183.10,One bunch?
1040 - 1070,1/24/2016,4:39:25,0.00,0.00,198.0072,44.63,180.00,2600.00,2471.90,14.12,202.22,2.55,176.22,One bunch?
1071 - 1100,1/24/2016,6:00:00,0.00,0.00,195.6379,44.63,180.00,4500.00,4428.10,14.12,197.78,4.92,174.70,One bunch?
1101 - 1176,1/24/2016,7:38:01,0.00,0.00,202.9673,44.63,180.00,4500.00,4403.90,14.12,198.26,4.73,179.00,One bunch?
